年月日,平均気温,最高気温,最低気温,平均風速(m/s)
2018/3/1,12.4,20.3,6.7,3.2
2018/3/2,9.4,14.4,5.4,3
2018/3/3,9.7,16.2,3.2,2.1
2018/3/4,13.9,21.2,5.8,3.7
2018/3/5,15.6,19.9,9.7,4.9
2018/3/6,8.3,12.5,4.4,3.5
2018/3/7,5.2,8.3,2.8,2.8
2018/3/8,5.9,9.8,3.6,2.9
2018/3/9,11.6,17.5,6.4,3.6
2018/3/10,7.3,11.8,4.4,2.8
2018/3/11,9.2,16.1,5.5,2.2
2018/3/12,9.9,15.9,5.2,3.4
2018/3/13,11.6,17.5,5.3,2.6
2018/3/14,14.3,21.5,7.2,2
2018/3/15,15.9,22.1,9,4.1
2018/3/16,13.2,17.5,5.7,4.5
2018/3/17,7.4,12.1,3.1,3.2
2018/3/18,11.3,15.8,5.4,2.9
2018/3/19,13,18,8.7,2.1
2018/3/20,8.4,11.1,6.5,3.7
2018/3/21,3.8,6.6,1.7,3.1
2018/3/22,9.5,14.5,4.1,2.8
2018/3/23,11.9,18.8,7.8,2.6
2018/3/24,11.3,16.8,7.1,2.7
2018/3/25,13,19.3,6.6,2.7
2018/3/26,14.1,21.8,8.2,2.2
2018/3/27,15.7,22.1,10.1,2
2018/3/28,17.2,22.9,11.1,2.5
2018/3/29,18.1,24.2,12.4,2.4
2018/3/30,13.8,18.4,9.6,4
2018/3/31,13.4,18.1,8.3,3.2
2018/4/1,16,21.9,9.6,3.7
2018/4/2,17.9,24.5,12.3,2.6
2018/4/3,17.9,23.4,14.3,2.3
2018/4/4,20.1,26.2,14.7,3.3
2018/4/5,13.3,15.3,11.6,3.3
2018/4/6,18.1,22.4,11.6,5.3
2018/4/7,16.2,21.8,10.2,4.1
2018/4/8,11.9,16.8,7.2,2
2018/4/9,13.7,19.9,5.5,3.7
2018/4/10,13.6,19.1,8,3.3
2018/4/11,17.6,21.9,12.4,6.5
2018/4/12,19.1,25.9,13.9,2.4
2018/4/13,15.5,20.9,11.9,3.9
2018/4/14,15.2,18.8,11.4,4
2018/4/15,17.9,22.1,13.5,4.8
2018/4/16,14.7,20,11.7,3.7
2018/4/17,12.7,15,11,2.3
2018/4/18,12.7,16,10.4,2.3
2018/4/19,16.2,22.2,10.2,3.3
2018/4/20,18.7,26.4,12.3,3
2018/4/21,18.9,26,12.8,2.8
2018/4/22,20.5,28.3,13.9,2.1
2018/4/23,16.5,18.7,15.1,3
2018/4/24,18,21.3,15.4,3.3
2018/4/25,19,22.5,16.6,3.5
2018/4/26,18.9,25,14.8,3.9
2018/4/27,18.5,22,15.1,2.9
2018/4/28,20.1,26.1,15.2,4.4
2018/4/29,20.1,25.6,14,4.4
2018/4/30,20.8,25.7,16.7,4.5
2018/5/1,22.3,28.1,16.7,2.9
2018/5/2,20.4,25.3,17.1,3.2
2018/5/3,21.9,27.4,16.8,6.2
2018/5/4,18,23.8,13.2,3.8
2018/5/5,18.3,24.3,11.5,3.3
2018/5/6,21,26.5,14.4,4.5
2018/5/7,17.9,21.6,13.9,4.3
2018/5/8,12.9,14.6,11.4,3.1
2018/5/9,12.1,14.3,10.3,2.9
2018/5/10,12.1,15.8,10,1.8
2018/5/11,16.4,22.4,9,3.7
2018/5/12,18.8,24.6,12.9,2.8
2018/5/13,17.9,21.4,14.6,3.4
2018/5/14,21.1,28.6,15.2,2.9
2018/5/15,22.3,28.4,14.8,3.6
2018/5/16,23.5,29,18.8,4.3
2018/5/17,24,28.4,21.4,3.7
2018/5/18,23.4,27.1,20,3
2018/5/19,21.5,26.3,15.3,3.9
2018/5/20,16.8,22.1,13.1,3.5
2018/5/21,20.3,27.2,13.7,2.4
2018/5/22,21,27.3,15,3.1
2018/5/23,18.6,22,17,2.3
2018/5/24,20.7,25.7,16.1,2.8
2018/5/25,22.8,27.1,18.7,3.7
2018/5/26,21.4,25.2,18,2.7
2018/5/27,21.3,26.9,16.2,2.9
2018/5/28,21.6,26,18.8,2.5
2018/5/29,23,27.6,19.3,3.2
2018/5/30,21.1,25,17.4,2.6
2018/5/31,19.5,22,16.5,2.4
2018/6/1,21.7,27.5,17.3,3.4
2018/6/2,21.9,27.2,16.9,2.4
2018/6/3,22.5,28.6,17.3,2.8
2018/6/4,23.5,29.1,18.5,2.8
2018/6/5,23.2,28.3,18.2,2.3
